Song,Album,Lyric
I Knew You Were Trouble,RED,Now I heard you moved on from whispers on the street
All Too Well,RED,You used to be a little kid with glasses in a twin-sized bed
22,RED,We ditch the whole scene and end up dreaming
I Almost Do,RED,I bet this time of night you're still up
I Almost Do,RED,"Oh, we made quite a mess, babe"
We Are Never Ever Getting Back Together,RED,I'm really gonna miss you picking fights
Stay Stay Stay,RED,I'm pretty sure we almost broke up last night
The Last Time,RED,All roads—they lead me here
Holy Ground,RED,We had this big wide city all to ourselves
Holy Ground,RED,Tonight I'm gonna dance for all that we've been through
Sad Beautiful Tragic,RED,"We both wake in lonely beds, different cities"
The Lucky One,RED,"Everybody loves pretty, everybody loves cool"
The Lucky One,RED,"How you took the money and your dignity, and got the hell out"
Everything Has Changed,RED,I'm feeling like I've missed you all this time
Starlight,RED,"I said, ""Oh my, what a marvelous tune."""
Begin Again,RED,But you throw your head back laughing like a little kid
Welcome To New York,1989,Searching for a sound we hadn't / Heard before
Welcome To New York,1989,Took our broken hearts / Put them in a drawer
Blank Space,1989,"Magic, madness, heaven, sin"
Blank Space,1989,I'm dying to see how this one ends
Style,1989,I should just tell you to leave 'cause I / Know exactly where it leads but I
Out Of The Woods,1989,You took a Polaroid of us
All You Had To Do Was Stay,1989,I've been picking up the pieces of the mess you made
Shake It Off,1989,I'm lightning on my feet
I Wish You Would,1989,"Windows down, you pass my street, the memories start"
Bad Blood,1989,You know it used to be mad love
Bad Blood,1989,Band-aids don't fix bullet holes
Wildest Dreams,1989,He's so tall and handsome as hell
How You Get The Girl,1989,"She'll open up the door and say, ""Are you insane?"""
This Love,1989,"Tossing, turning / Struggled through the night with someone new"
I Know Places,1989,"Love's a fragile little flame, it could burn out"
Clean,1989,Hung my head as I lost the war
...Ready For It?,Reputation,Stealing hearts and running off and never sayin' sorry
End Game,Reputation,I don't wanna miss you / Like the other girls do
I Did Something Bad,Reputation,Now all he thinks about is me
Don't Blame Me,Reputation,My drug is my baby
Delicate,Reputation,"Dive bar on the East Side, where you at?"
Look What You Made Me Do,Reputation,"Honey, I rose up from the dead, I do it all the time"
So It Goes...,Reputation,"All eyes on you, my magician"
Gorgeous,Reputation,You've ruined my life by not being mine
Getaway Car,Reputation,"""X"" marks the spot, where we fell apart"
King Of My Heart,Reputation,"I'm perfectly fine, I live on my own"
Dancing With Our Hands Tied,Reputation,"First sight, yeah, we love without reason"
Dress,Reputation,Say my name and everything just stops
This Is Why We Can't Have Nice Things,Reputation,Everyone swimming in a champagne sea
Call It What You Want,Reputation,Nobody's heard from me for months
New Year's Day,Reputation,Don't read the last page
Lavender Haze,Midnights,They're bringing up my history / But you weren't even listening
Maroon,Midnights,And how the blood rushed into my cheeks
Anti-Hero,Midnights,I should not be left to my own devices
Snow On the Beach,Midnights,I've never seen someone lit from within
"You’re On Your Own, Kid",Midnights,I touch my phone as if it's your face
Midnight Rain,Midnights,My boy was a montage
Question...?,Midnights,But one thing after another
Vigilante Shit,Midnights,"Don't get sad, get even"
Bejeweled,Midnights,Puttin' someone first only works when you're in their top five
Labyrinth,Midnights,"Break up, break free, break through, break down"
Karma,Midnights,And I keep my side of the street clean
Sweet Nothing,Midnights,"You say, ""What a mind"""
Mastermind,Midnights,And the touch of a hand lit the fuse
